*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20_10K_nodes.dag
V:10000 E:605 lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q13.qry
Algorithm:DagEval_simgr
Average running time: 
Algo id status preFiltTime SGbuildTime MIjoinTime totTime #SumInvL #NodesSG numSoln sizeOfSG #edgesSG
View_sim_rmvEmp 0 success .0000 .0018 .0006 .0024 2,465 2 0 2 0
View_sim 0 success .0000 .0013 .0005 .0018 2,465 5 0 7 2
SIM 0 success .0233 .0003 .0015 .0251 2,465 0 0 0 0
*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20_60K_nodes.dag
V:54715 E:16363 lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q13.qry
Algorithm:DagEval_simgr
Average running time: 
Algo id status preFiltTime SGbuildTime MIjoinTime totTime #SumInvL #NodesSG numSoln sizeOfSG #edgesSG
View_sim_rmvEmp 0 success .0000 .0024 .0005 .0029 13,997 16 0 24 8
View_sim 0 success .0000 .0015 .0006 .0021 13,997 96 0 201 105
SIM 0 success .1685 .0003 .0009 .1697 13,997 4 0 5 1
