*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_1Eviews_q8.qry
Algorithm:DagEval_IEfltsim
Average,running,time:,
Algo,id,status,preFiltTime,SGbuildTime,MIjoinTime,totTime,#DGNodes,#NodesSG,numSoln,sizeOfSG,#edgesSG
View_sim_rmvEmp,0,success,.00,.00,.00,.00,52656,84,11,183,99
View_sim,0,success,.00,.00,.00,.00,52656,162,11,333,171
FLTSIM,0,success,.20,.01,.00,.21,52656,10186,11,11537,1351
FLT,0,success,.17,.01,.00,.17,52656,10186,11,11537,1351
SIM,0,success,.03,.00,.00,.03,52656,30,11,75,45
