*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214 E:345203 lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q10.qry
Algorithm:DagEval_IEfltsim
Average running time: 
Algo id status preFiltTime SGbuildTime MIjoinTime totTime #DGNodes #NodesSG numSoln sizeOfSG #edgesSG
View_sim_rmvEmp 0 success .00 .01 .00 .01 53,133 863 6,318 28,908 28,045
View_sim 0 success .00 .01 .00 .01 53,133 1,016 6,318 44,296 43,280
FLTSIM 0 success .17 2.23 .02 2.41 53,133 10,222 6,318 1,355,588 1,345,366
FLT 0 success .14 2.29 .01 2.44 53,133 10,222 6,318 1,355,588 1,345,366
SIM 0 success 3.00 .01 .00 3.01 53,133 835 6,318 26,837 26,002
