*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214 E:345203 lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q9.qry
Algorithm:DagEval_simgr
*****************************************************
View Build Times: 
id status filtTime matchTime totTime "nodesSumInvL nodesSG sizeOfSG
0 success 1.5950 2.0220 3.6170 39,706 3,128 661,823
1 success 2.3700 5.7050 8.0750 39,706 8,108 1,078,769
*****************************************************
id status vInterTimes filtTime SGbuildTime joinTime totTime nodesSumInvL nodesAfterPreFilt nodesAfterVinter nodesSG numSoln sizeOfSG sizeUncovSG
0 success .0330 .1750 .0030 .0360 .2140 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0230 .1910 .0010 .0260 .2180 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0180 .1730 .0010 .0230 .1970 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0150 .1720 .0000 .0150 .1870 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0140 .1680 .0000 .0140 .1820 53,138 10,218 3,310 799 52,845 48,040 497
0 success .1940 .1850 .0010 .0180 .2040 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0130 .1630 .0000 .0090 .1720 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0110 .1600 .0000 .0110 .1710 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0110 .1600 .0010 .0110 .1720 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0110 .1570 .0000 .0100 .1670 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0140 .1920 .0000 .0110 .2030 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0180 .2050 .0000 .0100 .2150 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0120 .1570 .0010 .0100 .1680 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0130 .3020 .0000 .0100 .3120 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0110 .1590 .0000 .0100 .1690 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0100 .1590 .0000 .0170 .1760 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0110 .1610 .0010 .0100 .1720 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0120 .1560 .0000 .0100 .1660 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0140 .2010 .0000 .0220 .2230 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0150 .1790 .0010 .0110 .1910 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0100 .1730 .0010 .0100 .1840 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0140 .1800 .0010 .0920 .2730 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0100 .1630 .0000 .0110 .1740 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0100 .1820 .0000 .0100 .1920 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0110 .1690 .0000 .0100 .1790 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0100 .1730 .0010 .0130 .1870 53,138 10,218 3,310 799 52,845 48,040 497
0 success .1450 .1730 .0010 .0100 .1840 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0100 .1720 .0000 .0100 .1820 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0100 .2110 .0010 .0120 .2240 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0100 .2330 .0000 .0130 .2460 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0110 .1630 .0000 .0100 .1730 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0090 .1590 .0000 .0100 .1690 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0090 .1720 .0000 .0100 .1820 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0080 .1570 .0010 .0100 .1680 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0090 .1520 .0000 .0100 .1620 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0090 .1560 .0000 .1390 .2950 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0110 .1700 .0010 .0130 .1840 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0120 .1900 .0010 .0150 .2060 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0120 .1700 .0000 .0140 .1840 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0080 .1570 .0000 .0100 .1670 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0100 .3780 .0000 .0120 .3900 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0090 .1930 .0000 .0120 .2050 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0090 .1830 .0000 .0110 .1940 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0090 .1530 .0000 .0100 .1630 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0150 .1580 .0000 .0160 .1740 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0120 .2000 .0000 .0150 .2150 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0080 .2530 .0000 .0100 .2630 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0090 .2230 .0000 .0140 .2370 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0080 .1710 .0010 .0130 .1850 53,138 10,218 3,310 799 52,845 48,040 497
0 success .0080 .1790 .0000 .0100 .1890 53,138 10,218 3,310 799 52,845 48,040 497
Average running time: 
id status vInterTimes filtTime SGbuildTime joinTime totTime nodesSumInvL nodesAfterPreFilt nodesAfterVinter nodesSG numSoln sizeOfSG sizeUncovSG
0 success .0182 .1828 .0004 .0170 .2002 53,138 10,218 3,310 799 52,845 48,040 497
Data loading Time:1.5810
Index building Time:.4370
Average Eval Time per run:5.0149
Average Eval Time per query:5.0149
Average pruning Time per run:.0000
Average pruning Time per query:.0000
Average Matching Time per run:.0123
Average Matching Time per query:.0123
Average Enumeration Time per run:.4356
Average Enumeration Time per query:.4356
Average Nodes before per query:53138.0000
Average Nodes after per query:799.0000
Average number of solution tuples per query:52845.0000
Max Used Memory:1217.0000 MB
*****************************************************
