*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q6.qry
Algorithm:DagEval_IEfltsim
Average,running,time:,
Algo,id,status,preFiltTime,SGbuildTime,MIjoinTime,totTime,#SumInvL,#NodesSG,numSoln,sizeOfSG,#edgesSG
View_sim_rmvEmp,0,success,.0000,.0240,.0101,.0341,39736,908,18281,89535,88627
View_partial,0,success,.3382,.1156,.0126,.4664,39736,3151,18281,355585,352434
FLTSIM,0,success,.3904,.0637,.0169,.4710,39736,906,18281,90003,89097
