*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_3Eviews_q15.qry
Algorithm:DagEval_IEfltsim
Average,running,time:,
Algo,id,status,preFiltTime,SGbuildTime,MIjoinTime,totTime,#DGNodes,#NodesSG,numSoln,sizeOfSG,#edgesSG
View_sim_rmvEmp,0,success,.00,.02,16.25,16.27,79849,1390,88129737,134811,133421
View_sim,0,success,.00,.02,17.74,17.75,79849,1428,88129737,142304,140876
FLTSIM,0,success,.17,2.74,72.30,75.21,79849,10747,88129737,1624269,1613522
FLT,0,success,.15,2.38,66.42,68.95,79849,10747,88129737,1624269,1613522
SIM,0,success,5.72,.41,16.88,23.01,79849,1387,88129737,135847,134460
