View_sim_rmvEmp,0,success,.00,.02,17.79,17.81,79849,1374,88129737,134763,133389
View_sim,0,success,.00,.02,19.44,19.46,79849,1408,88129737,141110,139702
FLTSIM,0,success,.18,2.73,62.15,65.06,79849,10747,88129737,1624269,1613522
FLT,0,success,.16,2.60,63.04,65.80,79849,10747,88129737,1624269,1613522
SIM,0,success,5.98,.48,17.85,24.31,79849,1387,88129737,135847,134460
