*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q16.qry
Algorithm:DagEval_IEfltsim
Average,running,time:,
Algo,id,status,preFiltTime,SGbuildTime,MIjoinTime,totTime,#DGNodes,#NodesSG,numSoln,sizeOfSG,#edgesSG
View_sim_rmvEmp,0,success,.00,.01,.16,.17,79469,1457,1029072,54559,53102
View_sim,0,success,.00,.01,.14,.15,79469,1635,1029072,94563,92928
FLTSIM,0,success,.20,3.15,.61,3.96,79469,10766,1029072,1343559,1332793
FLT,0,success,.19,3.32,.63,4.13,79469,10766,1029072,1343559,1332793
SIM,0,success,52.64,.47,.16,53.27,79469,1371,1029072,43868,42497
