*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\am_lb3.dag
V:403394,E:1267904,lbs:3
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb3_cyc_c_3Eviews_q12.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,1.56,.23,1.79,537466,157898,346024
1,success,1.64,.26,1.91,537466,180619,401684
2,success,1.65,.75,2.40,537466,180568,401467
3,success,1.54,.18,1.73,402785,99765,270874
4,success,1.48,.34,1.82,537466,227372,511365
5,success,1.62,.47,2.10,537466,191030,427914
6,success,1.65,.29,1.94,537466,180619,401684
7,success,1.83,.38,2.21,536837,247081,551660
8,success,1.34,.42,1.76,537466,177661,386814
9,success,1.81,.79,2.59,537466,245554,550140
10,success,1.52,.23,1.75,536837,155858,344602
11,success,1.65,.25,1.90,537466,173212,385790
12,success,1.57,.32,1.88,403414,96414,260954
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,1.11,.01,1.12,671518,34606,2627,109613
0,success,.00,.76,.01,.77,671518,34606,2627,109613
0,success,.00,.83,.01,.84,671518,34606,2627,109613
0,success,.00,.83,.01,.84,671518,34606,2627,109613
0,success,.00,.97,.01,.98,671518,34606,2627,109613
0,success,.00,.70,.01,.71,671518,34606,2627,109613
0,success,.00,.77,.01,.78,671518,34606,2627,109613
0,success,.00,.72,.01,.73,671518,34606,2627,109613
0,success,.00,.72,.01,.73,671518,34606,2627,109613
0,success,.00,.72,.01,.73,671518,34606,2627,109613
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.81,.01,.82,671518,34606,2627,109613

Data loading Time,1.81
Index building Time,.53
Average Eval Time per run,4.76
Average Eval Time per query,4.76
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,4.71
Average Matching Time per query,4.71
Average Enumeration Time per run,.05
Average Enumeration Time per query,.05
Average Nodes before per query,671518.00
Average Nodes after per query,34606.00
Average number of solution tuples per query,2627.00
Max Used Memory,2848.00 MB
*****************************************************
