*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214 E:345203 lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_q9.qry
Algorithm:DagEval_simgr
*****************************************************
View Build Times: 
id status filtTime matchTime totTime "nodesSumInvL nodesSG sizeOfSG
0 success 16.7160 38.0800 54.7960 26,427 10,139 11,710,198
*****************************************************
id status vInterTimes filtTime SGbuildTime joinTime totTime nodesSumInvL nodesAfterPreFilt nodesAfterVinter nodesSG numSoln sizeOfSG sizeUncovSG
0 success .0280 .0690 .0010 .0120 .0820 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0210 .0660 .0020 .0100 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0180 .0660 .0010 .0100 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0660 .0010 .0100 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0200 .0670 .0010 .0110 .0790 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0660 .0010 .0100 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0640 .0020 .0110 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0180 .0650 .0010 .0110 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0660 .0010 .0100 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0180 .0650 .0020 .0110 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0650 .0030 .0100 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0180 .0650 .0010 .0110 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0670 .0010 .0110 .0790 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0660 .0010 .0100 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0180 .0650 .0020 .0110 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0640 .0010 .0100 .0750 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0180 .0660 .0020 .0100 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0180 .0660 .0020 .0110 .0790 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0180 .0660 .0010 .0110 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0180 .0690 .0010 .0110 .0810 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0200 .0660 .0020 .0100 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0670 .0010 .0110 .0790 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0210 .0660 .0030 .0110 .0800 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0230 .0700 .0020 .0100 .0820 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0220 .0690 .0020 .0110 .0820 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0180 .0660 .0010 .0110 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0200 .0650 .0010 .0100 .0760 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0650 .0010 .0170 .0830 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0210 .0660 .0020 .0100 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0660 .0010 .0100 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0650 .0010 .0110 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0210 .0670 .0020 .0110 .0800 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0210 .0650 .0010 .0110 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0210 .0650 .0010 .0100 .0760 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0180 .0660 .0020 .0110 .0790 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0670 .0010 .0110 .0790 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0200 .0680 .0010 .0100 .0790 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0200 .0720 .0010 .0100 .0830 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0200 .0650 .0020 .0100 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0680 .0010 .0110 .0800 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0660 .0010 .0110 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0650 .0020 .0110 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0200 .0670 .0010 .0120 .0800 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0200 .0650 .0010 .0110 .0770 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0190 .0660 .0010 .0110 .0780 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0200 .0700 .0010 .0130 .0840 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0230 .0700 .0010 .0110 .0820 53,138 0 36,850 799 52,845 48,040 5,266
0 success .0220 .0710 .0020 .0120 .0850 53,138 0 36,850 799 52,845 48,040 5,266
Average running time: 
id status vInterTimes filtTime SGbuildTime joinTime totTime nodesSumInvL nodesAfterPreFilt nodesAfterVinter nodesSG numSoln sizeOfSG sizeUncovSG
0 success .0225 .0702 .0017 .0125 .0845 53,138 0 36,850 799 52,845 48,040 5,266
Data loading Time:1.4230
Index building Time:.4500
Average Eval Time per run:4.5064
Average Eval Time per query:4.5064
Average pruning Time per run:.0000
Average pruning Time per query:.0000
Average Matching Time per run:.0991
Average Matching Time per query:.0991
Average Enumeration Time per run:.7051
Average Enumeration Time per query:.7051
Average Nodes before per query:53138.0000
Average Nodes after per query:799.0000
Average number of solution tuples per query:52845.0000
Max Used Memory:318.0000 MB
*****************************************************
